stadium1	stadium2	distance_m	duration_s
Brighton community stadium, UK	King Power Stadium, Filbert Way, Leicester	280176	52420
Brighton community stadium, UK	Sandy Park Stadium, Exeter	313295	62141
Brighton community stadium, UK	St. James' Park, Barrack Road, Newcastle upon Tyne	622834	116360
Brighton community stadium, UK	Stadium MK, Grafton Street, Bletchley	184675	34481
Brighton community stadium, UK	Twickenham Stadium, Whitton Road, Twickenham	106895	20637
Brighton community stadium, UK	Villa Park, Trinity Road, Birmingham	284582	54751
City of Manchester Stadium, Ashton New Road, Manchester	Brighton community stadium, UK	440082	81058
City of Manchester Stadium, Ashton New Road, Manchester	King Power Stadium, Filbert Way, Leicester	164301	33446
City of Manchester Stadium, Ashton New Road, Manchester	Kingsholm Stadium, Kingsholm Road, Gloucester	232568	43947
City of Manchester Stadium, Ashton New Road, Manchester	Millennium Stadium, Westgate Street, Cardiff	344109	64426
City of Manchester Stadium, Ashton New Road, Manchester	Sandy Park Stadium, Exeter	446561	83903
City of Manchester Stadium, Ashton New Road, Manchester	St. James' Park, Barrack Road, Newcastle upon Tyne	252179	50589
City of Manchester Stadium, Ashton New Road, Manchester	Stadium MK, Grafton Street, Bletchley	254364	46542
City of Manchester Stadium, Ashton New Road, Manchester	Twickenham Stadium, Whitton Road, Twickenham	347349	62989
City of Manchester Stadium, Ashton New Road, Manchester	Villa Park, Trinity Road, Birmingham	137383	25865
City of Manchester Stadium, Ashton New Road, Manchester	Wembley Stadium, Wembley	330770	60546
Elland Road, UK	Brighton community stadium, UK	452998	86787
Elland Road, UK	City of Manchester Stadium, Ashton New Road, Manchester	84192	16824
Elland Road, UK	King Power Stadium, Filbert Way, Leicester	173915	34819
Elland Road, UK	Kingsholm Stadium, Kingsholm Road, Gloucester	282920	55736
Elland Road, UK	Millennium Stadium, Westgate Street, Cardiff	401185	78067
Elland Road, UK	Sandy Park Stadium, Exeter	503636	97543
Elland Road, UK	St. James' Park, Barrack Road, Newcastle upon Tyne	170399	32195
Elland Road, UK	Stadium MK, Grafton Street, Bletchley	262187	51562
Elland Road, UK	Twickenham Stadium, Whitton Road, Twickenham	355171	68009
Elland Road, UK	Villa Park, Trinity Road, Birmingham	196983	38616
Elland Road, UK	Wembley Stadium, Wembley	338592	65565
King Power Stadium, Filbert Way, Leicester	Sandy Park Stadium, Exeter	360975	68062
King Power Stadium, Filbert Way, Leicester	St. James' Park, Barrack Road, Newcastle upon Tyne	343153	64721
King Power Stadium, Filbert Way, Leicester	Villa Park, Trinity Road, Birmingham	71919	13263
Kingsholm Stadium, Kingsholm Road, Gloucester	Brighton community stadium, UK	254835	49501
Kingsholm Stadium, Kingsholm Road, Gloucester	King Power Stadium, Filbert Way, Leicester	145579	27234
Kingsholm Stadium, Kingsholm Road, Gloucester	Sandy Park Stadium, Exeter	214571	40783
Kingsholm Stadium, Kingsholm Road, Gloucester	St. James' Park, Barrack Road, Newcastle upon Tyne	463781	86142
Kingsholm Stadium, Kingsholm Road, Gloucester	Stadium MK, Grafton Street, Bletchley	137457	26188
Kingsholm Stadium, Kingsholm Road, Gloucester	Twickenham Stadium, Whitton Road, Twickenham	168892	32128
Kingsholm Stadium, Kingsholm Road, Gloucester	Villa Park, Trinity Road, Birmingham	93483	17789
Millennium Stadium, Westgate Street, Cardiff	Brighton community stadium, UK	338527	64397
Millennium Stadium, Westgate Street, Cardiff	King Power Stadium, Filbert Way, Leicester	258523	48586
Millennium Stadium, Westgate Street, Cardiff	Kingsholm Stadium, Kingsholm Road, Gloucester	112119	21306
Millennium Stadium, Westgate Street, Cardiff	Sandy Park Stadium, Exeter	222316	42752
Millennium Stadium, Westgate Street, Cardiff	St. James' Park, Barrack Road, Newcastle upon Tyne	582783	109727
Millennium Stadium, Westgate Street, Cardiff	Stadium MK, Grafton Street, Bletchley	250069	48207
Millennium Stadium, Westgate Street, Cardiff	Twickenham Stadium, Whitton Road, Twickenham	280817	54102
Millennium Stadium, Westgate Street, Cardiff	Villa Park, Trinity Road, Birmingham	212485	41374
St. James' Park, Barrack Road, Newcastle upon Tyne	Sandy Park Stadium, Exeter	684298	128952
St. James' Park, Barrack Road, Newcastle upon Tyne	Villa Park, Trinity Road, Birmingham	367929	69061
Stadium MK, Grafton Street, Bletchley	King Power Stadium, Filbert Way, Leicester	90660	17379
Stadium MK, Grafton Street, Bletchley	Sandy Park Stadium, Exeter	319797	61010
Stadium MK, Grafton Street, Bletchley	St. James' Park, Barrack Road, Newcastle upon Tyne	436540	82104
Stadium MK, Grafton Street, Bletchley	Villa Park, Trinity Road, Birmingham	127044	23239
The Stadium, Queen Elizabeth Olympic Park	Brighton community stadium, UK	106525	21436
